id,name,artist,rating,youtube_link
1,Let Her Go,Passenger,0.0,https://www.youtube.com/watch?v=w9JvGk__Ffw
2,Someone Like You,Adele,0.0,https://www.youtube.com/watch?v=hLQl3WQQoQ0
3,Shape of You,Ed Sheeran,0.0,https://www.youtube.com/watch?v=JGwWNGJdvx8
4,Blinding Lights,The Weeknd,0.0,https://www.youtube.com/watch?v=fHI8X4OXluQ
5,Perfect,Ed Sheeran,0.0,https://www.youtube.com/watch?v=2Vv-BfVoq4g
6,Right Round,Unknown,0.0,https://www.youtube.com/watch?v=CcCw1ggftuQ
